机构ID	机构名称	报表时间	本年度捐赠收入_现金	来自境内的捐赠_现金	来自境内自然人的捐赠_现金	来自境内法人或者其他组织的捐赠_现金	来自境外的捐赠_现金	来自境外自然人的捐赠_现金	来自境外法人或者其他组织的捐赠_现金	接受非公益性捐赠情况_现金	本年度捐赠收入_非现金	来自境内的捐赠_非现金	来自境内自然人的捐赠_非现金	来自境内法人或者其他组织的捐赠_非现金	来自境外的捐赠_非现金	来自境外自然人的捐赠_非现金	来自境外法人或者其他组织的捐赠_非现金	接受非公益性捐赠情况_非现金	上年度基金余额	本年度总支出	本年度用于公益事业的支出	工作人员工资福利支出	行政办公支出	捐赠主体ID	捐赠主体名称	捐赠额_现金_限定	捐赠额_非现金_限定	捐赠额_现金_非限定	捐赠额_非现金_非限定	用途
ricf_oid	ba_cn	fp_dt	ao_ad	ao_dd	ao_ddc	ao_ddi	ao_od	ao_odn	ao_odi	ao_nni	ao_adn	ao_ddn	ao_ddnn	ao_ddin	ao_odnn	ao_odnn	ao_odin	ao_nnin	ao_lst	ao_ate	ao_cc	ao_slr	ao_adex	ao_did	ao_dn	ao_dcae	ao_ncae	ao_dcan	ao_ncan	ao_use
2661	灌南县见义勇为基金会	2013	60000	60000	0	60000	0	0	0	0	0	0	0	0	0	0	0	0		230751	211300	4000	15451							
2662	灵山县准提慈善基金会	2013	7000	7000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0		34700	700	0	10000							
2663	烟台大学教育发展基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0							
2664	烟台市枫林公益基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		395879.11	343136.04	38441.31	14301.76							
2665	烟台市见义勇为基金会	2013	1400500	1400500	500	1400000	0	0	0	0	0	0	0	0	0	0	0	0		798949.92	724546.92	61400	13003							
2666	爱佑慈善基金会	2013	158754112.52	158754112.52	22588776.06	136165336.46	0	0	0	0	0	0	0	0	0	0	0	0		110755775.43	108672446.89	0	2083328.54							
2667	爱德基金会	2013	85217770.51	41732493.06	14247761.6	27484731.46	43485277.45	670072.46	42815204.99	0	0	0	0	0	0	0	0	0		88431481.51	79878121.11	5818544.33	2136158.4							
2668	爱慕公益基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0							
2670	牡丹江市公安民警救助基金会	2013	200000	200000	0	200000	0	0	0	0	0	0	0	0	0	0	0	0		1896700.28	1868000	20400	7737.78							
2671	牡丹江市老年福利基金会	2013	40000	40000	0	40000	0	0	0	0	0	0	0	0	0	0	0	0		721132	721132	0	0							
2672	牡丹江师范学院教育发展基金会	2013	549127	549127	397951	151176	0	0	0	0	0	0	0	0	0	0	0	0		391177.91	390948.91	0	0							
2673	玉林市好人好报基金会	2013	1098508.8	1098508.8	350432.9	748075.9	0	0	0	0	0	0	0	0	0	0	0	0		214437.1	168604.1	10800	17353							
2674	玉林市见义勇为基金会	2013	1000	1000	0	1000	0	0	0	0	0	0	0	0	0	0	0	0		13903.3	1250	4100	8521.5							
2676	王振滔慈善基金会	2013	17000000	17000000	0	17000000	0	0	0	0	0	0	0	0	0	0	0	0		17164442.48	16918440	233350	12652.48							
2677	珠海市凝警心医疗救助基金会	2013	356100	356100	356100	0	0	0	0	0	0	0	0	0	0	0	0	0		365732.43	356100	0	9632.43							
2678	珠海市扶贫基金会	2013	26476232.31	24327760.06	499800	23827960.06	2148472.25	198472.25	1950000	0	0	0	0	0	0	0	0	0		12576718.28	12145001.7	0	431716.58							
2679	珠海市禁毒基金会	2013	2750000	2750000	0	2750000	0	0	0	0	0	0	0	0	0	0	0	0		5759611.12	5298040.72	0	458940.9							
2682	瑞安市人民教育基金会	2013	2219095.4	2219095.4	2219095.4	0	0	0	0	0	0	0	0	0	0	0	0	0		8944236.95	8750083.59	79560	52639.36							
2683	瑞安市公安民警救助奖励基金会	2013	10075000	10075000	0	10075000	0	0	0	0	0	0	0	0	0	0	0	0		4896997.9	4473477.5	15000	191875.4							
2684	瑞安市社会组织发展基金会	2013	145000	145000	0	145000	0	0	0	0	0	0	0	0	0	0	0	0		325261	129500	12129	3532							
2716	田汉基金会	2013	500000	500000	500000	0	0	0	0	0	0	0	0	0	0	0	0	0		706207.99	288557.37	104400	313250.62							
2717	白城市公安民警优抚基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0							
2718	白山市公安民警优抚基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		337417	327300	0	1590							
2721	百色市教育基金会	2013	24497192.11	24497192.11	22000	24475192.11	0	0	0	0	0	0	0	0	0	0	0	0		5102566.06	4790150	66550	178077.16							
2722	益阳市教育基金会	2013	6904917	6904917	937917	5967000	0	0	0	0	0	0	0	0	0	0	0	0		2767326.6	2618994.4	117450	30882.2							
2723	盐城工业职业技术学院教育发展基金会	2013	163744	163744	0	163744	0	0	0	0	0	0	0	0	0	0	0	0		381542.6	369000	0	12542.6							
2724	盐城工学院教育发展基金会	2013	21235000	21235000	19605000	1630000	0	0	0	0	0	0	0	0	0	0	0	0		14185112	14077410	0	107702							
2725	盐城市扶贫基金会	2013	28000	28000	0	28000	0	0	0	0	0	0	0	0	0	0	0	0		25908	10000	7800	8108							
2726	盐城市李凤祥助学扶困基金会	2013	1046725	1046725	81000	965725	0	0	0	0	0	0	0	0	0	0	0	0		1180797.07	1135216.8	0	45677							
2727	盐城市盐都区见义勇为基金会	2013	1250000	1250000	0	1250000	0	0	0	0	0	0	0	0	0	0	0	0		14020	12000	0	2020							
2728	盐城市见义勇为基金会	2013	24000	24000	0	24000	0	0	0	0	0	0	0	0	0	0	0	0		4071956.52	3941681	28300	101975.52							
2729	盐城师范学院教育发展基金会	2013	20545083.82	20545083.82	14345380	6199703.82	0	0	0	0	0	0	0	0	0	0	0	0		4401635.8	4282012	0	119623.8							
2730	盐城胡友林慈善基金会	2013	6000	6000	6000	0	0	0	0	0	0	0	0	0	0	0	0	0		700000	700000	0	0							
2732	盱眙县教育发展基金会	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		377266.5	352200	24200	484							
2733	盱眙县见义勇为基金会	2013	990500	990500	990500	0	0	0	0	0	0	0	0	0	0	0	0	0		3840	0	0	3840							
2734	眉山市关心下一代基金会	2013	6496000	6496000	0	6496000	0	0	0	0	0	0	0	0	0	0	0	0		733105.4	716600	9000	7505.4							
2735	睢宁县慈善基金会	2013	8357975.3	8357975.3	0	8357975.3	0	0	0	0	0	0	0	0	0	0	0	0		1465427.41	1285255	81800	98372.41							
